iter	RMSE
0	7517.177915
1	7405.527884
2	7285.28208
3	7176.261261
4	7079.042491
5	6998.717362
6	6908.433469
7	6834.273402
8	6731.330127
9	6660.464763
10	6581.709812
11	6487.71181
12	6397.896517
13	6330.380001
14	6255.912038
15	6184.499654
16	6133.056113
17	6056.477611
18	5976.837976
19	5917.53402
20	5856.387533
21	5809.234731
22	5765.087481
23	5725.751226
24	5687.214835
25	5651.508288
26	5590.88435
27	5556.748448
28	5501.147252
29	5465.156076
30	5425.128425
31	5394.031864
32	5356.605534
33	5309.497722
34	5281.546154
35	5242.183363
36	5193.113875
37	5152.483686
38	5124.321203
39	5091.237604
40	5053.615479
41	5027.772615
42	4999.92765
43	4978.186652
44	4944.195737
45	4919.447703
46	4899.115823
47	4874.829888
48	4851.848474
49	4827.65475
50	4806.481797
51	4786.294738
52	4769.510703
53	4740.140246
54	4724.639442
55	4708.500316
56	4691.216621
57	4670.114342
58	4650.813524
59	4619.058538
60	4598.34137
61	4574.862143
62	4550.592456
63	4535.766469
64	4520.741182
65	4511.795995
66	4492.6407
67	4472.661196
68	4450.654771
69	4432.656513
70	4419.715074
71	4409.794786
72	4386.711709
73	4371.187056
74	4361.273004
75	4350.98942
76	4339.623384
77	4329.756968
78	4318.280602
79	4302.107477
80	4285.393684
81	4270.334483
82	4254.821543
83	4247.84119
84	4239.77744
85	4228.454366
86	4216.386901
87	4206.264377
88	4197.308161
89	4187.118665
90	4176.357466
91	4160.75667
92	4149.180067
93	4136.003264
94	4126.947353
95	4118.485268
96	4105.386917
97	4098.186326
98	4089.210789
99	4080.815247
100	4069.626252
101	4065.38424
102	4056.942885
103	4044.387052
104	4027.030032
105	4017.080849
106	4008.907611
107	4002.809327
108	3998.018455
109	3989.241562
110	3982.819996
111	3966.12308
112	3955.783859
113	3950.292656
114	3945.980258
115	3935.963942
116	3929.530842
117	3923.037479
118	3917.889345
119	3911.83857
120	3905.93807
121	3900.29693
122	3894.707236
123	3886.174164
124	3873.602149
125	3867.704743
126	3861.711897
127	3851.725191
128	3846.211749
129	3828.308801
130	3826.062341
131	3821.259714
132	3814.645951
133	3809.79905
134	3804.409805
135	3791.408544
136	3786.351806
137	3765.2217
138	3755.737443
139	3747.75054
140	3739.768391
141	3731.47939
142	3722.920719
143	3719.268016
144	3712.663318
145	3704.169675
146	3698.659952
147	3695.058185
148	3691.353093
149	3686.745908
150	3681.434354
151	3676.576009
152	3663.157566
153	3656.949913
154	3655.582997
155	3647.0418
156	3642.163601
157	3621.321332
158	3614.353488
159	3610.247418
160	3598.353457
161	3595.307922
162	3590.447407
163	3586.57499
164	3574.014744
165	3569.118443
166	3559.934563
167	3550.220104
168	3546.175347
169	3533.923919
170	3530.428449
171	3523.245097
172	3520.816668
173	3516.992881
174	3503.519422
175	3497.854875
176	3493.726032
177	3489.791511
178	3480.122824
179	3467.597049
180	3463.962415
181	3449.451335
182	3445.118706
183	3432.843351
184	3422.806654
185	3420.799704
186	3416.221399
187	3411.071032
188	3401.666614
189	3388.038888
190	3383.310733
191	3370.188469
192	3358.338997
193	3350.294468
194	3336.594706
195	3332.176014
196	3326.938078
197	3324.222231
198	3314.708023
199	3306.097654
200	3300.975947
201	3289.871021
202	3278.307431
203	3273.214803
204	3265.396226
205	3259.272831
206	3249.691882
207	3242.700969
208	3234.063569
209	3226.403988
210	3220.875487
211	3217.754194
212	3212.269721
213	3202.680613
214	3199.623274
215	3196.642947
216	3194.030399
217	3192.363698
218	3189.745564
219	3182.241229
220	3177.716405
221	3167.929031
222	3162.462992
223	3158.972652
224	3153.913839
225	3144.889842
226	3140.734599
227	3137.833553
228	3131.433377
229	3127.423917
230	3122.338675
231	3115.253517
232	3112.741099
233	3109.052915
234	3100.331694
235	3090.445483
236	3082.689119
237	3079.021582
238	3070.903808
239	3062.893095
240	3057.587782
241	3053.806132
242	3045.766117
243	3040.707768
244	3034.208693
245	3023.499164
246	3021.254028
247	3017.318721
248	3009.514041
249	3001.332813
250	2995.263532
