iter	Passed	Remaining
0	141	70383
1	152	37889
2	162	26858
3	171	21325
4	181	17974
5	190	15717
6	200	14124
7	208	12825
8	216	11790
9	224	10982
10	235	10447
11	243	9901
12	251	9419
13	260	9030
14	268	8673
15	276	8364
16	284	8087
17	293	7848
18	300	7608
19	308	7392
20	315	7196
21	323	7018
22	330	6845
23	337	6702
24	345	6559
25	353	6443
26	361	6332
27	369	6220
28	376	6110
29	383	6004
30	390	5909
31	397	5817
32	405	5737
33	413	5670
34	420	5592
35	428	5522
36	436	5463
37	444	5399
38	451	5337
39	459	5280
40	466	5222
41	473	5163
42	480	5110
43	487	5056
44	495	5008
45	502	4962
46	510	4915
47	517	4873
48	524	4829
49	531	4786
50	539	4746
51	546	4707
52	553	4671
53	560	4631
54	568	4595
55	575	4559
56	582	4524
57	589	4490
58	596	4458
59	603	4427
60	611	4400
61	618	4370
62	626	4343
63	633	4313
64	640	4284
65	647	4256
66	654	4229
67	661	4204
68	668	4178
69	676	4154
70	683	4128
71	690	4105
72	697	4080
73	705	4060
74	713	4040
75	720	4020
76	727	3998
77	734	3975
78	741	3952
79	749	3933
80	756	3912
81	763	3892
82	770	3871
83	778	3854
84	786	3842
85	794	3826
86	803	3815
87	812	3801
88	818	3781
89	825	3762
90	833	3744
91	840	3726
92	847	3709
93	854	3692
94	861	3674
95	869	3657
96	876	3639
97	883	3623
98	890	3607
99	897	3591
100	905	3576
101	912	3559
102	919	3544
103	927	3530
104	935	3519
105	942	3504
106	950	3490
107	958	3477
108	965	3463
109	973	3450
110	980	3436
111	988	3422
112	995	3409
113	1002	3395
114	1010	3383
115	1018	3370
116	1025	3357
117	1033	3344
118	1040	3331
119	1045	3311
120	1052	3297
121	1059	3283
122	1066	3269
123	1074	3257
124	1081	3243
125	1089	3233
126	1096	3219
127	1103	3207
128	1110	3193
129	1117	3181
130	1124	3167
131	1131	3154
132	1138	3141
133	1145	3128
134	1152	3115
135	1159	3104
136	1167	3092
137	1174	3081
138	1181	3069
139	1189	3057
140	1197	3048
141	1204	3036
142	1213	3029
143	1220	3018
144	1228	3007
145	1235	2995
146	1243	2985
147	1250	2973
148	1257	2962
149	1265	2951
150	1272	2941
151	1279	2930
152	1287	2919
153	1294	2908
154	1300	2894
155	1308	2884
156	1315	2873
157	1322	2863
158	1330	2853
159	1337	2842
160	1344	2831
161	1351	2820
162	1358	2809
163	1366	2799
164	1374	2790
165	1382	2781
166	1389	2771
167	1397	2762
168	1405	2752
169	1413	2744
170	1421	2734
171	1428	2725
172	1436	2715
173	1444	2706
174	1452	2696
175	1459	2687
176	1467	2677
177	1475	2668
178	1482	2658
179	1490	2649
180	1497	2640
181	1505	2630
182	1512	2620
183	1520	2610
184	1527	2601
185	1534	2591
186	1542	2581
187	1549	2572
188	1556	2561
189	1563	2551
190	1570	2541
191	1578	2531
192	1586	2522
193	1593	2512
194	1600	2503
195	1608	2494
196	1615	2484
197	1623	2475
198	1630	2466
199	1637	2455
200	1644	2446
201	1651	2436
202	1658	2426
203	1665	2416
204	1672	2406
205	1680	2397
206	1687	2388
207	1694	2379
208	1701	2369
209	1708	2360
210	1715	2350
211	1723	2341
212	1730	2332
213	1738	2323
214	1746	2314
215	1753	2304
216	1760	2295
217	1767	2286
218	1774	2277
219	1782	2268
220	1790	2260
221	1798	2251
222	1805	2242
223	1812	2233
224	1820	2225
225	1828	2216
226	1836	2208
227	1844	2200
228	1852	2192
229	1860	2183
230	1867	2174
231	1874	2165
232	1882	2156
233	1889	2147
234	1897	2139
235	1904	2130
236	1911	2121
237	1918	2112
238	1927	2104
239	1934	2095
240	1941	2086
241	1949	2078
242	1956	2069
243	1963	2060
244	1972	2053
245	1980	2044
246	1987	2036
247	1995	2027
248	2002	2018
249	2009	2009
250	2017	2001
